"user.id","user.B.id","proximity","calls","SMS"
69,4,325,0,0
70,4,81,0,0
71,4,491,0,0
72,4,176,0,0
73,4,0,0,0
74,4,0,0,0
75,4,73,0,0
76,4,152,0,0
77,4,1,0,0
78,4,30,0,0
79,4,33,0,0
80,4,870,0,0
81,4,0,0,0
82,4,0,0,0
83,4,0,0,0
84,4,0,0,0
1,5,21,0,0
2,5,18,0,0
3,5,0,0,0
4,5,33,0,0
5,5,67,0,0
6,5,113,0,0
7,5,2,0,0
8,5,3,0,0
9,5,2,0,0
10,5,1899,0,0
11,5,44,0,0
12,5,0,0,0
13,5,0,0,0
14,5,69,0,0
15,5,1,0,0
16,5,12,0,0
17,5,0,0,0
18,5,23,0,0
19,5,1,0,0
20,5,34,0,0
21,5,440,0,0
22,5,647,0,0
23,5,89,0,0
24,5,4,0,0
25,5,1,0,0
26,5,0,0,0
27,5,302,0,0
28,5,34,0,0
29,5,483,0,0
30,5,126,0,0
31,5,259,0,0
32,5,10,0,0
33,5,0,0,0
34,5,415,0,0
35,5,6,0,0
36,5,162,0,0
37,5,26,0,0
38,5,4,0,0
39,5,0,0,0
40,5,2,0,0
41,5,5,0,0
42,5,486,0,0
43,5,465,0,0
44,5,290,0,0
45,5,422,0,0
46,5,75,0,0
47,5,2931,0,0
48,5,4,0,0
49,5,7,0,0
50,5,11,0,0
51,5,181,0,0
52,5,25,0,0
53,5,0,0,0
54,5,637,0,0
55,5,673,0,0
56,5,18,0,0
57,5,14,0,0
58,5,30,0,0
59,5,136,0,0
60,5,11,0,0
61,5,12,0,0
62,5,16,0,0
63,5,0,0,0
64,5,3475,0,0
65,5,3,0,0
66,5,28,0,0
67,5,5,0,0
68,5,4268,0,0
69,5,39,0,0
70,5,33,0,0
71,5,285,0,0
72,5,27,0,0
73,5,0,0,0
74,5,12,0,0
75,5,3779,0,0
76,5,48,0,0
77,5,6,0,0
78,5,6,0,0
79,5,748,0,0
80,5,1,0,0
81,5,0,0,0
82,5,0,0,0
83,5,0,0,0
84,5,0,0,0
1,6,8,0,0
2,6,8,0,0
3,6,0,0,0
